stain_label,calcium_label,overlap_px,frac_stain,stain_area,calcium_area,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff,cell_area,O4_prop,O4_mfi_norm,PDGFRa_prop,PDGFRa_mfi_norm,MBP_prop,MBP_mfi_norm
73,78,2617,0.9635493372606775,2716,5571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,80.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,847.3323364257812,-0.0098807318136096,0.04917072132229805,1570,0.0,1.1120777401373245,1.0,3.4456036822630702,0.03949044585987261,1.1763620096515768
345,325,2612,1.0,2612,4373,78.45268861949444,0.0,3.2810997802298516,7.49518121778965,70.95750740170479,0.05965635964054276,0.09368976522237063,0.9720206493384218,55.0,80.0,73.0,0.0,0.0,0.972972972972973,78.45268861949444,0.51276267071565,0.51276267071565,649.6975708007812,0.0035968709271401167,0.049929291009902954,1424,0.0,1.104233816600909,1.0,3.365961881260104,0.23174157303370788,1.1873220910536246
217,240,2592,0.8215530903328051,3155,4354,4.599155251169577,0.0,1.0963252088986337,1.7038325038738549,2.8953227472957224,0.019933185616338795,0.021297906298423187,0.04021281593466281,55.0,80.0,72.0,0.0,0.0,0.0,4.599155251169577,0.030257600336641956,0.030257600336641956,1286.844482421875,0.0065694875083863735,0.020062174648046494,86,0.0,1.096465314895093,1.0,2.026870688319138,0.0,0.9982950160948951
96,104,2582,1.0,2582,7338,116.15103637520224,0.04938271604938271,0.517352196155116,2.5322744781151414,113.6187618970871,0.009406403566456653,0.031653430976439266,1.5780383596817653,55.0,80.0,72.0,0.0,0.04938271604938271,1.0,116.15103637520224,0.7641515551000148,0.7641515551000148,651.6072998046875,0.005851401016116142,0.026467109099030495,0,0.0,,0.0,,0.0,
353,333,2576,0.759882005899705,3390,2790,15.520719278603792,0.0,6.502728387713432,8.919997915625572,6.60072136297822,0.11823142523115332,0.11149997394531966,0.09042084058874274,55.0,80.0,73.0,0.0,0.0,0.0,15.520719278603792,0.10144260966407707,0.10144260966407707,1276.046875,0.002276712330058217,0.04607350006699562,2160,0.2125,1.3083211316502625,0.9143518518518519,3.455660602364457,0.36944444444444446,1.2461532544771063
190,213,2570,0.8583834335337341,2994,4326,51.77099528582767,0.0,1.6952183672692627,1.1839898047037423,50.587005481123924,0.030822152132168414,0.014799872558796778,0.7025972983489434,55.0,80.0,72.0,0.0,0.0,0.6986301369863014,51.77099528582767,0.34059865319623467,0.34059865319623467,1068.049072265625,-0.001252362155355513,0.04024320840835571,2142,0.0,1.2255837279441273,0.9439775910364145,3.5867102122748977,0.07376283846872082,1.2256957074000405
79,77,2545,0.7649534114818155,3327,5493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,80.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,870.564208984375,0.008940103463828564,0.06626064330339432,1447,0.0,1.2867226431861885,0.6053904630269523,2.0303932382708734,0.4526606772633034,1.44822108734764
206,220,2543,0.9941360437842064,2558,9812,20.933701567351818,0.0,0.0,0.0,20.933701567351818,0.0,0.0,0.2907458551021086,55.0,80.0,72.0,0.0,0.0,0.8904109589041096,20.933701567351818,0.1377217208378409,0.1377217208378409,605.1751708984375,-0.003837310941889882,0.042880989611148834,1878,0.30404685835995743,1.5172759012322807,0.39882854100106496,1.9958861622569732,0.3274760383386581,1.334150696804135
170,196,2506,0.8774509803921569,2856,3011,14.187572900438681,0.0,0.0,0.0,14.187572900438681,0.0,0.0,0.1970496236172039,55.0,80.0,72.0,0.0,0.0,0.3150684931506849,14.187572900438681,0.09333929539762291,0.09333929539762291,784.1602172851562,0.002896483289077878,0.05236205831170082,1961,0.0,1.1962520617909431,0.8929117797042325,3.38132719757759,0.41815400305966344,1.3032437449419771
319,299,2501,0.8515491998638066,2937,6353,12.072075824253261,0.0,6.047434512525797,5.8947193175554276,6.1773565066978335,0.10798990200938922,0.07368399146944285,0.08462132200955937,56.0,80.0,73.0,0.0,0.0,0.0,12.072075824253261,0.07890245636766838,0.07890245636766838,555.6157836914062,0.013449589721858501,0.048612624406814575,2068,0.0,1.1178625277957066,0.6958413926499033,3.0155023753187096,0.3099613152804642,1.2361876534785396
