lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,num_nuclei,mbp_area_px,pdgfra_area_px,cnp_area_px,num_proc,num_branch3_px,num_branch4_px,avg_segment_len_px,area_ratio_union,perimeter_ratio_union,cell_perimeter_union_px,hull_perimeter_union_px,hull_area_union_px,area_ratio_mbp,perimeter_ratio_mbp,cell_perimeter_mbp_px,hull_perimeter_mbp_px,cell_area_mbp_px,hull_area_mbp_px,area_ratio_pdgfra,perimeter_ratio_pdgfra,cell_perimeter_pdgfra_px,hull_perimeter_pdgfra_px,cell_area_pdgfra_px,hull_area_pdgfra_px,area_ratio_cnp,perimeter_ratio_cnp,cell_perimeter_cnp_px,hull_perimeter_cnp_px,cell_area_cnp_px,hull_area_cnp_px,max_r_px,AUC,Imax,Rmax_px,CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,cnp_mean_in,cnp_mean_bg,cnp_int_ratio,scene_area_ratio_union,scene_perimeter_ratio_union,scene_area_ratio_mbp,scene_perimeter_ratio_mbp,scene_area_ratio_pdgfra,scene_perimeter_ratio_pdgfra,scene_area_ratio_cnp,scene_perimeter_ratio_cnp
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,28,59621,45787,4,59621,11913,45471,84,304,90,10.272727272727273,1.3996330836263569,2.1992786297207525,3039.4030662740797,1382.0,64085,1.1298200298552523,1.0008609891449263,1403.2071067811867,1402.0,59621,67361,3.454797280282045,1.5769894655544263,1604.1248916810277,1017.2071067811866,11913,41157,1.398055903762838,2.1534185141951085,2976.0243866176397,1382.0,45471,63571,243,987.5,13.0,155.0,117.5,248.45594673017897,127.0,1.9563460372455037,288.91857634516913,140.0,2.0637041167512082,151.28371929361572,109.0,1.387924030216658,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,29,143690,116837,8,143690,28604,113254,154,725,212,10.222222222222221,1.33770124190111,3.096564072665506,5840.119841047144,1886.0,156293,1.0983645347623356,1.0713117651799506,2031.2071067811864,1896.0,143690,157824,4.4265487344427354,2.1554101414006266,3629.710678118655,1684.0,28604,126617,1.3115651544316316,2.8859329756264813,5252.398015640196,1820.0,113254,148540,281,1812.5,26.0,190.0,137.5,453.8648270582504,127.0,3.573738795734255,346.03775695706895,140.0,2.471698263979064,167.24130715029932,109.0,1.5343239188100855,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,30,12262,5261,1,12260,5261,0,24,98,25,7.90625,2.055312678198061,2.2211348749971696,1194.9705627484773,538.0,10813,1.0816476345840131,1.02466511593956,590.2071067811866,576.0,12260,13261,2.055312678198061,2.2211348749971696,1194.9705627484773,538.0,5261,10813,,,0.0,0.0,0,0,196,362.5,7.0,10.0,99.14285714285714,140.31590538336053,127.0,1.1048496486878783,220.01140467591713,140.0,1.571510033399408,116.44004893964112,109.0,1.0682573297214781,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,31,68678,48316,4,68673,16705,42001,92,339,95,10.938016528925619,1.5055468167894692,2.9903325603652307,3863.509667991878,1292.0,72742,1.0935010848513973,1.1066518933392648,1465.2071067811867,1324.0,68673,75094,3.9688117330140678,2.2063517830717663,2718.2253967444162,1232.0,16705,66299,1.6557939096688175,2.9384239572267736,3643.6457069611993,1240.0,42001,69545,217,1252.5,34.0,120.0,105.0,291.6697537605755,127.0,2.2966122343352398,369.07626459143967,140.0,2.636259032795998,158.17973381586154,109.0,1.4511902184941425,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,32,85852,56222,4,85852,8029,53587,108,461,96,9.924012158054712,1.6882359218811143,3.718201214056582,5331.900540957138,1434.0,94916,1.115745701905605,1.119303421571382,1614.0355339059329,1442.0,85852,95789,10.865736704446382,1.7471247131959418,2487.905591591021,1424.0,8029,87241,1.679623789351895,3.439644908253196,4863.657900270019,1414.0,53587,90006,250,1592.5,16.0,125.0,122.5,308.23100218981506,127.0,2.427015765274134,187.58911446008221,140.0,1.3399222461434444,157.63099259148674,109.0,1.4461558953347409,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,33,13544,5988,1,13439,5759,673,19,55,10,13.894736842105264,2.223613894455578,1.9252651655510944,1247.970562748477,648.2071067811866,13315,1.1215864275615746,1.2140249652351767,798.8284271247462,658.0,13439,15073,2.2953637784337557,1.8188177056603285,1178.9705627484773,648.2071067811866,5759,13219,7.542347696879643,0.5899692210764527,221.82842712474618,376.0,673,5076,148,412.5,10.0,45.0,72.5,157.3300096733388,127.0,1.2388189738058173,238.91074839381838,140.0,1.7065053456701313,128.25111441307578,109.0,1.1766157285603283,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,35,20845,10334,1,20845,8743,4898,51,138,38,6.5,2.0433520418037547,2.2769331160234616,1721.3614357137371,756.0,21116,1.069321180139122,1.0,782.0,782.0,20845,22290,2.2571199816996455,1.9986549819417407,1415.0477272147525,708.0,8743,19734,2.504287464271131,1.7712384599505697,1107.3908729652603,625.2071067811866,4898,12266,142,667.5,19.0,40.0,67.5,167.22902374670184,127.0,1.3167639665094633,282.2801098021274,140.0,2.0162864985866245,131.7792976725194,109.0,1.2089843823166917,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,36,19194,8049,1,19194,495,7585,26,72,13,11.50943396226415,2.456454217915269,2.045221945308442,1407.1126983722081,688.0,19772,1.147754506616651,1.0658220894318897,748.2071067811866,702.0,19194,22030,7.329292929292929,0.4531627428635584,198.48528137423858,438.0,495,3628,2.3145682267633485,1.8913170538842714,1255.8345237791561,664.0,7585,17556,240,457.5,5.0,85.0,117.5,213.88340106283212,127.0,1.6841212682112765,186.76363636363635,140.0,1.334025974025974,135.5309162821358,109.0,1.2434029016709707,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,37,24185,12781,1,23889,1182,12020,50,185,45,8.188034188034187,2.3805649010249588,2.2319507630102953,2191.77564927611,982.0,30426,1.3548495123278497,1.1000358928342757,1089.0355339059329,990.0,23889,32366,4.641285956006768,0.6412947502014112,296.278174593052,462.0,1182,5486,2.3771214642262897,2.1308853308164566,2049.9116882454314,962.0,12020,28573,238,787.5,12.0,50.0,115.0,220.3445937460756,127.0,1.7349968011502015,196.6057529610829,140.0,1.404326806864878,140.29692179700498,109.0,1.2871277229083027,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,38,8685,5101,1,7582,4278,2211,12,52,8,10.735294117647058,1.6686924132523036,1.5154395848842805,721.3492424049175,476.0,8512,1.1047217093115274,1.2112301587086212,569.278174593052,470.0,7582,8376,1.951846657316503,1.6095423017305273,766.142135623731,476.0,4278,8350,2.0081411126187247,1.4280249019213878,505.5208152801713,354.0,2211,4440,96,227.5,6.0,40.0,45.0,185.99169084674227,127.0,1.4645015027302541,251.0563347358579,140.0,1.7932595338275563,130.74355495251018,109.0,1.1994821555276163,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,39,12985,5534,3,11066,5256,280,24,64,15,9.692307692307692,1.8402602096132996,2.2151617567502204,1045.556349186104,472.0,10184,1.0616302186878728,1.0785845404436134,560.863961030679,520.0,11066,11748,1.7781582952815829,2.0623549750949652,923.9350288425444,448.0,5256,9346,1.5464285714285715,1.1084282333867814,123.03553390593274,111.0,280,433,89,342.5,16.0,50.0,42.5,157.68064341225374,127.0,1.2415798693878248,260.73915525114154,140.0,1.8624225375081538,130.13214285714287,109.0,1.1938728702490171,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,40,7051,2717,1,7051,2645,72,19,45,10,5.409090909090909,1.6790577843209422,1.39764364417181,491.97056274847716,352.0,4562,1.0283647709544745,1.005050505050505,398.0,396.0,7051,7251,1.5145557655954631,1.343694583487344,446.1066017177982,332.0,2645,4006,30.59722222222222,0.16092617905501377,45.86396103067893,285.0,72,2203,105,220.0,8.0,50.0,52.5,147.7993192454971,127.0,1.1637741672873787,217.7531190926276,140.0,1.555379422090197,128.69444444444446,109.0,1.1806829765545364,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,41,59332,54891,1,59332,1259,54891,38,200,49,13.285714285714286,1.2246452059536173,1.6513550388279215,2008.0477272147525,1216.0,67222,1.1399919099305602,1.0766947566193539,1311.414213562373,1218.0,59332,67638,31.727561556791105,0.5839773080877376,595.6568542494924,1020.0,1259,39945,1.2246452059536173,1.6513550388279215,2008.0477272147525,1216.0,54891,67222,252,597.5,12.0,125.0,122.5,246.09023798287603,127.0,1.9377184093139845,179.10722795869737,140.0,1.279337342562124,153.01380918547667,109.0,1.4037964145456576,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Pranlukast_0606.lif,Pranlukast_0606,5,Image 6,Pranlukast_0606_S6_Image_6,42,17096,14778,2,17096,20,14778,23,98,25,11.353846153846154,1.1520503451075923,1.647651606269356,912.7989898732233,554.0,17025,1.0535797847449695,1.055528659753001,593.2071067811866,562.0,17096,18012,1.1,0.6480634602802352,9.207106781186548,14.207106781186548,20,22,1.1520503451075923,1.647651606269356,912.7989898732233,554.0,14778,17025,100,322.5,10.0,85.0,47.5,179.08306036499766,127.0,1.4101028375196667,182.15,140.0,1.3010714285714287,142.5115712545676,109.0,1.3074456078400698,1.691761035479621,2.441457552881335,1.1762934353625145,1.142313759384744,3.693550647664572,1.5120486726461992,1.6851143514887676,2.3646996910421763
