calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
287,36.19302164018154,0.0,0.11795198297477327,0.38096063397824764,35.812061006203294,0.0019658663829128877,0.0056023622643859945,0.5509547847108199,60.0,68.0,65.0,0.0,0.0,0.42424242424242425,36.19302164018154,0.2721279822570041,0.2721279822570041,874.9034423828125,-0.003416218562051654,0.03629394248127937
288,7.8077137565705925,0.0,0.366544003598392,3.0037805297179148,4.803933226852678,0.006109066726639867,0.04417324308408698,0.07390666502850274,60.0,68.0,65.0,0.0,0.0,0.07575757575757576,7.8077137565705925,0.05870461471105708,0.05870461471105708,856.9879150390625,0.001830579130910337,0.029374148696660995
289,6.717204362619668,0.014492753623188406,0.2142120662610978,3.7531583164818585,2.9640460461378098,0.0035702011043516296,0.05519350465414498,0.04560070840212015,60.0,68.0,65.0,0.0,0.014492753623188406,0.09090909090909091,6.717204362619668,0.05050529595954638,0.05050529595954638,811.819580078125,0.001416024169884622,0.025916583836078644
290,18.97542199664167,0.014492753623188406,0.3110288581228815,4.135665690380847,14.839756306260824,0.005183814302048025,0.06081861309383599,0.22830394317324346,60.0,68.0,65.0,0.0,0.014492753623188406,0.13636363636363635,18.97542199664167,0.14267234583941107,0.14267234583941107,591.5208129882812,-0.011607527732849121,0.04365786164999008
291,24.84060611136374,0.043478260869565216,0.3589018955244683,6.845433467999101,17.99517264336464,0.005981698258741138,0.1006681392352809,0.27684880989791755,60.0,68.0,65.0,0.0,0.043478260869565216,0.2878787878787879,24.84060611136374,0.1867714745215319,0.1867714745215319,686.37744140625,-0.002432086504995823,0.03514884039759636
292,22.12053805682808,0.21739130434782608,1.8998191966675222,10.025793746113777,12.094744310714304,0.03166365327779204,0.1474381433252026,0.18607298939560468,60.0,68.0,65.0,0.0,0.21739130434782608,0.16666666666666666,22.12053805682808,0.16631983501374498,0.16631983501374498,1090.103515625,-0.002047439804300666,0.03879557549953461
293,25.18924150057137,0.9855072463768116,3.6876733698882163,18.00159676373005,7.187644736841321,0.06146122283147027,0.2647293641725007,0.11057914979755878,60.0,68.0,65.0,0.0,0.9855072463768116,0.24242424242424243,25.18924150057137,0.18939279323737873,0.18939279323737873,1541.5257568359375,0.0019283363362774253,0.029936542734503746
294,14.70023010415025,0.028985507246376812,0.981356164207682,4.924427476478741,9.77580262767151,0.016355936070128033,0.07241805112468735,0.15039696350263862,60.0,68.0,65.0,0.0,0.028985507246376812,0.16666666666666666,14.70023010415025,0.11052804589586654,0.11052804589586654,1326.619384765625,0.0038906391710042953,0.033443644642829895
295,5.069569417159073,0.0,0.4334679001112818,2.611744213849306,2.457825203309767,0.007224465001854696,0.03840800314484274,0.03781269543553488,60.0,68.0,65.0,0.0,0.0,0.030303030303030304,5.069569417159073,0.03811706328691032,0.03811706328691032,1659.2845458984375,0.0026015217881649733,0.0330246202647686
296,22.41467654542066,0.0,1.4976756321266294,0.06317788013257086,22.35149866528809,0.024961260535443824,0.0009290864725378068,0.3438692102352014,60.0,68.0,65.0,0.0,0.0,0.3333333333333333,22.41467654542066,0.16853140259714783,0.16853140259714783,718.9280395507812,0.00351789896376431,0.03458183631300926
297,3.0595965383108705,0.0,0.6657391206827015,1.7625415669754148,1.2970549713354558,0.011095652011378358,0.02591972892610904,0.01995469186669932,60.0,68.0,65.0,0.0,0.0,0.0,3.0595965383108705,0.023004485250457674,0.023004485250457674,736.9635009765625,0.0012364089488983154,0.060842402279376984
298,31.07698217732832,0.0,0.8307873399462551,1.6575427982024848,29.419439379125834,0.013846455665770918,0.02437562938533066,0.452606759678859,60.0,68.0,65.0,0.0,0.0,0.3939393939393939,31.07698217732832,0.2336615201302881,0.2336615201302881,853.043212890625,0.00018706142145674676,0.020769629627466202
